bootstrap,RF_AC_window_auc,RF_AC_subject_auc,XGB_COSEN_AC_window_auc,XGB_COSEN_AC_subject_auc,delta_window,delta_subject
89,0.9903123062792,1.0,0.9923827563918416,1.0,0.0020704501126416197,0.0
90,0.9705597191476417,0.9673202614379086,0.972552446239436,0.9281045751633987,0.001992727091794322,-0.03921568627450989
91,0.984757591631884,0.9771241830065359,0.9857881628185124,0.954248366013072,0.001030571186628415,-0.02287581699346397
92,0.9925058399733894,0.9967105263157895,0.9935167318072544,0.986842105263158,0.0010108918338650463,-0.009868421052631526
93,0.9601214284135859,0.965034965034965,0.9667101427730556,0.9125874125874125,0.006588714359469616,-0.0524475524475525
94,0.9775024646783841,0.9696969696969696,0.9792267874087036,0.9393939393939393,0.0017243227303195274,-0.030303030303030276
95,0.9428443694340706,0.9466666666666667,0.9497134444125251,0.89,0.00686907497845457,-0.05666666666666664
96,0.9953975174288809,0.9967320261437909,0.995958921728224,0.9934640522875817,0.0005614042993430379,-0.0032679738562091387
97,0.980326088589223,0.9934640522875817,0.983953976113092,0.9575163398692811,0.003627887523869,-0.03594771241830064
98,0.974601195021092,0.986842105263158,0.976552459592676,0.9407894736842105,0.0019512645715840105,-0.046052631578947456
99,0.9713237995571684,0.9795918367346939,0.9731271997451667,0.9387755102040817,0.0018034001879982942,-0.04081632653061218
100,0.9743886894490169,0.972027972027972,0.9761615503140927,0.9475524475524475,0.001772860865075776,-0.02447552447552448
101,0.9765397271501839,0.9895104895104895,0.9807340748880536,0.9405594405594405,0.0041943477378697525,-0.04895104895104896
102,0.9815275147691942,0.9897959183673469,0.9826668386400812,0.9557823129251701,0.001139323870886999,-0.0340136054421768
103,0.9958433315871595,1.0,0.9961098343387915,1.0,0.00026650275163198067,0.0
104,0.9650553663496577,0.9703947368421053,0.9684636712076082,0.8914473684210527,0.003408304857950517,-0.07894736842105265
105,0.9888134225249997,0.9931972789115646,0.9895074231933509,0.9693877551020409,0.0006940006683512356,-0.023809523809523725
106,0.9736265667760323,0.9736842105263158,0.97337331226659,0.9407894736842105,-0.0002532545094423577,-0.03289473684210531
107,0.9866790870326873,0.9869281045751633,0.9894727305841421,0.9640522875816994,0.0027936435514548386,-0.02287581699346397
108,0.9865388130972733,0.986013986013986,0.9880944608393618,0.958041958041958,0.001555647742088495,-0.027972027972028024
109,0.9725578138465959,0.9733333333333334,0.9764653356315235,0.9433333333333332,0.003907521784927592,-0.030000000000000138
110,0.9847141625969549,1.0,0.98840371540745,0.9800000000000001,0.0036895528104951003,-0.019999999999999907
111,0.9527279742692825,0.9477124183006537,0.9583614974286181,0.8562091503267973,0.005633523159335629,-0.09150326797385633
112,0.9718946972641399,0.9738562091503268,0.9754897266768433,0.9281045751633987,0.003595029412703399,-0.04575163398692805
113,0.9599178671056412,0.9671052631578947,0.9650652886345423,0.9078947368421053,0.0051474215289011305,-0.05921052631578938
114,0.9826095992966145,0.9848484848484849,0.9856749410218242,0.9659090909090909,0.0030653417252096693,-0.018939393939393923
115,0.9980989596760927,1.0,0.9984387161563261,1.0,0.00033975648023332194,0.0
116,0.9849499019111265,0.9868421052631579,0.9869302246027307,0.9539473684210527,0.001980322691604197,-0.0328947368421052
117,0.9963398448721634,1.0,0.9979982763573686,1.0,0.0016584314852051696,0.0
118,0.961659843914584,0.9666666666666667,0.9631963995020588,0.89,0.001536555587474786,-0.07666666666666666
119,0.993310955359397,1.0,0.9959112454623802,1.0,0.002600290102983238,0.0
120,0.9736939816144787,0.9666666666666667,0.975737814804175,0.9266666666666666,0.0020438331896962536,-0.040000000000000036
121,0.9859775926457914,0.976,0.9862528009192761,0.968,0.0002752082734847061,-0.008000000000000007
122,0.9613454833240391,0.9705882352941176,0.9678206435308012,0.9117647058823529,0.006475160206762087,-0.05882352941176472
123,0.9814662650466679,0.9869281045751634,0.9825535164750568,0.9444444444444445,0.0010872514283889467,-0.042483660130718914
